"Sample_ID","Region","Season","Medium","Abundance"
"BG01","BG","March","Water",0.25
"BG02","BG","March","Water",1.55
"BG03","BG","March","Water",0.1
"BG04","BG","March","Water",0.4
"BG06","BG","March","Water",0.4
"BG07","BG","March","Water",0.55
"MZ01","MZ","March","Water",0.45
"MZ02","MZ","March","Water",0.9
"MZ03","MZ","March","Water",1
"FT01","FT","March","Water",0.75
"FT02","FT","March","Water",0.45
"FT03","FT","March","Water",0.55
"FT04","FT","March","Water",0.4
"FT05","FT","March","Water",0.4
"FT06","FT","March","Water",1.65
"FT07","FT","March","Water",1.35
"FT08","FT","March","Water",1.6
"FT09","FT","March","Water",1
"FT10","FT","March","Water",2.7
"FT11","FT","March","Water",1.35
"FT13","FT","March","Water",0.55
"FT14","FT","March","Water",0.75
"FT15","FT","March","Water",4.85
"FT16","FT","March","Water",0.9
"FT17","FT","March","Water",0.35
"FT18","FT","March","Water",1.35
"FT19","FT","March","Water",1.4
"FT20","FT","March","Water",1.3
"FT21","FT","March","Water",1.4
"FT22","FT","March","Water",1.35
"FT23","FT","March","Water",2.45
"FT24","FT","March","Water",2.25
"BG01","BG","June","Water",3.2
"BG02","BG","June","Water",0.7
"BG03","BG","June","Water",0.35
"BG04","BG","June","Water",1.2
"BG06","BG","June","Water",0.3
"BG07","BG","June","Water",2.4
"MZ01","MZ","June","Water",1
"MZ02","MZ","June","Water",0.7
"MZ03","MZ","June","Water",1.65
"FT01","FT","June","Water",2
"FT02","FT","June","Water",0.65
"FT03","FT","June","Water",0.4
"FT04","FT","June","Water",1.15
"FT05","FT","June","Water",0.45
"FT06","FT","June","Water",0.55
"FT07","FT","June","Water",2.6
"FT08","FT","June","Water",3.6
"FT09","FT","June","Water",11.45
"FT10","FT","June","Water",8.65
"FT11","FT","June","Water",2.4
"FT12","FT","June","Water",23
"FT13","FT","June","Water",3.05
"FT14","FT","June","Water",1.45
"FT15","FT","June","Water",2.2
"FT16","FT","June","Water",4.25
"FT17","FT","June","Water",2.1
"FT18","FT","June","Water",1.4
"FT19","FT","June","Water",1.1
"FT20","FT","June","Water",1.25
"FT21","FT","June","Water",1.45
"FT22","FT","June","Water",1.4
"FT23","FT","June","Water",1
"FT24","FT","June","Water",1.6
"BG01","BG","March","Sediment",239.905477241967
"BG02","BG","March","Sediment",1319.76772088112
"BG03","BG","March","Sediment",159.982401935787
"BG04","BG","March","Sediment",399.914418314481
"BG06","BG","March","Sediment",499.822063345449
"BG07","BG","March","Sediment",739.251877100374
"MZ01","MZ","March","Sediment",3253.97471026728
"MZ02","MZ","March","Sediment",219.98020178184
"MZ03","MZ","March","Sediment",1039.97920041599
"FT01","FT","March","Sediment",1139.83586363564
"FT02","FT","March","Sediment",1375.69956316554
"FT03","FT","March","Sediment",739.070249625971
"FT04","FT","March","Sediment",1413.23906431631
"FT05","FT","March","Sediment",1379.28277295806
"FT06","FT","March","Sediment",1419.77567544328
"FT07","FT","March","Sediment",1478.61601540958
"FT08","FT","March","Sediment",1299.42565386099
"FT09","FT","March","Sediment",1032.60243614744
"FT10","FT","March","Sediment",839.91096943724
"FT11","FT","March","Sediment",3295.4588576941
"FT12","FT","March","Sediment",3919.63939317583
"FT13","FT","March","Sediment",3236.51750716229
"FT14","FT","March","Sediment",1079.5573814736
"FT15","FT","March","Sediment",1321.67367285223
"FT16","FT","March","Sediment",1358.44322406522
"FT17","FT","March","Sediment",1176.21728521076
"FT18","FT","March","Sediment",1850.65051360527
"FT19","FT","March","Sediment",1615.69578642496
"FT20","FT","March","Sediment",1695.8756304667
"FT21","FT","March","Sediment",1279.10718318614
"FT22","FT","March","Sediment",1713.90193690848
"FT23","FT","March","Sediment",2457.7487021888
"FT24","FT","March","Sediment",794.858852939189
"BG01","BG","June","Sediment",1279.95904131068
"BG02","BG","June","Sediment",799.918408322351
"BG03","BG","June","Sediment",2879.96544041472
"BG04","BG","June","Sediment",3819.70970206264
"BG06","BG","June","Sediment",4058.61195471149
"BG07","BG","June","Sediment",1159.95592167498
"MZ01","MZ","June","Sediment",439.981520776127
"MZ02","MZ","June","Sediment",719.949603527753
"MZ03","MZ","June","Sediment",3499.67802962127
"FT01","FT","June","Sediment",8199.54082571376
"FT02","FT","June","Sediment",1699.91160459656
"FT03","FT","June","Sediment",2419.72415144674
"FT04","FT","June","Sediment",2059.78166314371
"FT05","FT","June","Sediment",2699.89200431983
"FT06","FT","June","Sediment",2659.81381303309
"FT07","FT","June","Sediment",2819.69547288893
"FT08","FT","June","Sediment",2379.82389303192
"FT09","FT","June","Sediment",2359.778180851
"FT10","FT","June","Sediment",619.931807501175
"FT11","FT","June","Sediment",1159.9628811878
"FT12","FT","June","Sediment",3919.41992585097
"FT13","FT","June","Sediment",1819.92356321035
"FT14","FT","June","Sediment",1699.77902872627
"FT15","FT","June","Sediment",719.976960737256
"FT16","FT","June","Sediment",2519.92944197562
"FT17","FT","June","Sediment",2819.87592545928
"FT18","FT","June","Sediment",1079.87689403408
"FT19","FT","June","Sediment",4459.76809205921
"FT20","FT","June","Sediment",2419.80641548676
"FT21","FT","June","Sediment",1319.8284223051
"FT22","FT","June","Sediment",2039.66957352909
"FT23","FT","June","Sediment",2299.95860074519
"FT24","FT","June","Sediment",2239.76706422532
